channel_name,subscriber_count
BLACKPINK,99000000
HYBE LABELS,78700000
BILLIE EILISH,82300
Shemaroo,60400000
JuegaGerman,54200000
LooLoo Kids - Nursery Rhymes and Children's Songs,61000000
Tips Official,79100000
MrBeast,443000000
El Reino Infantil,70200000
Justin Bieber,76300000
SET India,187000000
Wave Music,67700000
Colors TV,81300000
Sony Music India,68300000
Ed Sheeran,58500000
Zee TV,95100000
ChuChu TV Nursery Rhymes & Kids Songs,subscriber_count
Ariana Grande,110751327.5
5-Minute Crafts,112164113.8
Aaj Tak,113576900.1
Billion Surprise Toys,114989686.5
EminemMusic,116402472.8
Movieclips,117815259.1
Vlad and Niki,119228045.4
Sony SAB,120640831.8
Infobells - Hindi,122053618.1
Like Nastya,123466404.4
Taylor Swift,124879190.7
YRF,126291977.1
WWE,127704763.4
PewDiePie,129117549.7
BANGTANTV,130530336
Cocomelon - Nursery Rhymes,131943122.4
Jkk Entertainment,subscriber_count
Sony PAL,133355908.7
Mikecrack,134768695
WorkpointOfficial,136181481.3
ARY Digital HD,137594267.6
JioHotstar Kids,139007054
Maroon 5,140419840.3
Badabun,141832626.6
YouTube,143245412.9
whinderssonnunes,144658199.3
GR6 EXPLODE,146070985.6
ABP NEWS,147483771.9
Rihanna,148896558.2
Kimberly Loaiza,150309344.6
Shakira,151722130.9
Bad Bunny,153134917.2
Daddy Yankee,154547703.5
Fernanfloo,subscriber_count
ABS-CBN Entertainment,155960489.9
Ishtar Music,157373276.2
Like Nastya ESP,158786062.5
TEDx Talks,160198848.8
Felipe Neto,161611635.1
SonyMusicIndiaVEVO,163024421.5
TheEllenShow,164437207.8
Katy Perry,165849994.1
Super Simple Songs - Kids Songs,167262780.4
Ultra Bollywood,168675566.8
elrubiusOMG,170088353.1
Toys and Colors,171501139.4
One Direction,172913925.7
HAR PAL GEO,174326712.1
PowerKids TV,175739498.4
Alan Walker,177152284.7
shfa,subscriber_count
Luisito Comunica,178565071
Masha and The Bear,179977857.4
