iter	Logloss
0	0.5993703316
1	0.5437613074
2	0.5065655479
3	0.4850407973
4	0.4693509857
5	0.4594111015
6	0.4525807726
7	0.4479052636
8	0.443441499
9	0.4405832489
10	0.4381690979
11	0.4357260154
12	0.4343960943
13	0.4327160688
14	0.4311312987
15	0.429500763
16	0.4283356834
17	0.4277880241
18	0.4268809739
19	0.4261017857
20	0.4252075742
21	0.4247197907
22	0.424229196
23	0.4239012277
24	0.4232809005
25	0.4228940957
26	0.4225226235
27	0.4220850627
28	0.4212931835
29	0.4210615179
30	0.4203375457
31	0.4200420886
32	0.4192806613
33	0.4191797345
34	0.4189705688
35	0.4187036931
36	0.4180281636
37	0.4178361982
38	0.4175858638
39	0.4169981406
40	0.4168375678
41	0.4163934824
42	0.4160138311
43	0.4157208022
44	0.4156252024
45	0.41528168
46	0.4150903763
47	0.4146303129
48	0.4144674458
49	0.4143234745
50	0.4142967033
51	0.4140188867
52	0.4137940793
53	0.4132403493
54	0.413001284
55	0.4126352372
56	0.4122122761
57	0.4119323703
58	0.4110211964
59	0.4109858715
60	0.4107400901
61	0.4101651838
62	0.4099269033
63	0.4098133073
64	0.4094619505
65	0.4092372443
66	0.4085758496
67	0.4082217227
68	0.4078100909
69	0.4074971408
70	0.4069874726
71	0.4067804289
72	0.4065936591
73	0.4063748377
74	0.4062636153
75	0.4055910664
76	0.4050711792
77	0.4049516767
78	0.4046988976
79	0.4042715093
80	0.4039078415
81	0.4036128054
82	0.4033013183
83	0.4031135559
84	0.4027325757
85	0.4024911751
86	0.4020299057
87	0.4017731369
88	0.401295731
89	0.4008641451
90	0.4005799461
91	0.4002363444
92	0.3998644484
93	0.3991734248
94	0.3991533614
95	0.3989677019
96	0.3987227327
97	0.3984916906
98	0.3979430961
99	0.3975362005
