iter	Passed	Remaining
0	5	497
1	10	492
2	14	456
3	20	484
4	25	488
5	29	468
6	33	438
7	36	422
8	40	411
9	45	408
10	49	397
11	53	393
12	57	381
13	61	376
14	64	366
15	69	365
16	73	358
17	77	353
18	81	346
19	87	349
20	92	346
21	96	342
22	101	340
23	105	332
24	109	328
25	112	320
26	117	316
27	120	310
28	125	306
29	128	299
30	132	295
31	135	288
32	139	283
33	143	277
34	146	272
35	150	266
36	153	261
37	157	257
38	161	252
39	164	247
40	167	241
41	171	237
42	174	231
43	177	226
44	181	221
45	184	216
46	188	213
47	192	208
48	196	204
49	199	199
50	203	195
51	206	191
52	210	187
53	214	182
54	219	179
55	222	174
56	226	170
57	230	166
58	236	164
59	239	159
60	244	156
61	248	152
62	252	148
63	255	143
64	259	139
65	263	135
66	267	131
67	270	127
68	275	123
69	278	119
70	282	115
71	285	111
72	290	107
73	293	103
74	297	99
75	301	95
76	305	91
77	308	87
78	312	83
79	316	79
80	320	75
81	324	71
82	328	67
83	331	63
84	335	59
85	339	55
86	343	51
87	347	47
88	350	43
89	354	39
90	358	35
91	362	31
92	368	27
93	372	23
94	377	19
95	381	15
96	385	11
97	388	7
98	393	3
99	397	0
