channel_name,channel_id,view_count,category,country,defaultLanguage,subscriber_count,created_date,description,custom_url,thumbnail,video_count
BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,39962585446,"Music of Asia, Pop music, Music, Electronic music",KR,,99000000,2016-06-29T03:15:23Z,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사",@blackpink,https://yt3.ggpht.com/U3VrCkKjzTpQ3VYv4SCPjNfDHeJV-swGNnhLYhr0nV4lZz_GVUNzK4EB-HFRfKv9S5VNh14uAg=s800-c-k-c0x00ffffff-no-rj,636
HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,41604896923,"Hip hop music, Pop music, Music, Music of Asia",KR,,78700000,2008-06-04T08:23:22Z,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more.",@hybelabels,https://yt3.ggpht.com/ytc/AIdro_l8g0yRFG8xoe_qeqk8Ki9UFy36cB2IjZEWZWz0h7gl-t0=s800-c-k-c0x00ffffff-no-rj,2817
BILLIE EILISH,UCVNE660NcgYzi18LwwUZb7Q,14316364,,,,82300,2019-01-18T05:14:32Z,,@billieeilish8477,https://yt3.ggpht.com/ytc/AIdro_n3NfvUAVtcUJvWhSVp-cDJ7ja-VVlBTwJrzFeJuIgAMw=s800-c-k-c0x00ffffff-no-rj,1
Shemaroo,UCF1JIbMUs6uqoZEY1Haw0GQ,27011004224,"Entertainment, Film",IN,,60400000,2007-09-01T11:44:51Z,"Welcome to ShemarooEnt, one of the finest destinations for exclusive entertainment content on YouTube.   Celebrating the Golden Jubilee, Shemaroo Entertainment Ltd is among few entertainment companies that has hallmarked several pioneering efforts with its innovative and out-of-the-box thinking. Founded in 1962, Shemaroo Entertainment Ltd is an established media content house in the country, active in Content Acquisition, Value Addition to Content, and Content Distribution with a large content library of over 2900 titles.",@shemaroo,https://yt3.ggpht.com/ytc/AIdro_mhdF4RNZM9OHP-A8BvrQO4q6BenIVFCTfjURrYjYxAxw=s800-c-k-c0x00ffffff-no-rj,13374
JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,17573028501,"Role-playing video game, Action game, Video game culture, Action-adventure game",CL,,54200000,2013-05-19T00:09:13Z,Lento pero seguro.,@juegagerman,https://yt3.ggpht.com/vOsrLzWD4z1dbr470nEXydi3Kb55jW6YqcpQiq1LHyj9IvElga7zBHEfqFZvC26BRKmQimEbiA=s800-c-k-c0x00ffffff-no-rj,2368
LooLoo Kids - Nursery Rhymes and Children's Songs,UC4NALVCmcmL5ntpV0thoH6w,39000362438,"Entertainment, Music, Film",US,en,61000000,2014-08-05T20:15:33Z,"LooLoo Kids💖 is an educational YouTube channel designed for children and parents alike. With a vast collection of nursery rhymes, baby songs, and kid songs, our content is tailored to entertain and inspire kids of all ages while promoting critical thinking, creative exploration, and a sense of imagination. Lovable characters like Johny and his friends, Emmy, Monica, Laura, Siu, and Li take kids on exciting adventures.  At LooLoo Kids, we take education seriously, which is why we ensure that Johny and his friends are always having fun while learning from every adventure and activity. Our channel includes educational kids' songs, kindergarten songs, and learning songs that are perfect for toddlers and preschoolers. From action songs for kids to dance songs and sing-along songs, our animations for kids are among the best. Join us for the best kids' songs, dance songs for kids, and educational children’s songs.",@loolookids,https://yt3.ggpht.com/XQ8Z5bwcV4dgjWEYFI1n1M9W2lgEP6RPh8LxqUq6ScFkXWXXwZIz0TTun_B05TTiTvReU5vy=s800-c-k-c0x00ffffff-no-rj,1051
Tips Official,UCJrDMFOdv1I2k8n9oK_V21w,50657029437,"Film, Music, Music of Asia, Pop music",IN,,79100000,2007-05-22T10:13:28Z,"The proud history of Tips Music Limited (Formerly Known as Tips Industries Limited) stretches back over four decades ago, it was founded by Kumar S. Taurani and Ramesh S. Taurani in 1975. Its distributors serve more than 1,000 wholesalers and 400,000 retailers across India. A treat for every music lover and Bollywood connoisseur! Chart-buster songs from super-hit movies like Dil Hai Tumhara, Ramaiya Vastavaiya, Ajab Prem Ki Gazab Kahani and more.  Tips Music - Home To India's Biggest Music Hits. Subscribe to our channel to listen to chartbusters in the making, see premieres of blockbuster videos and get your daily dose of some great music right here.  Subscribe to the Tips Official YouTube channel for all the latest and The Must Have Hits.",@tipsofficial,https://yt3.ggpht.com/zSQrmF-U4JwDv9QalTMOuEEWjGDjM9LvNgahKGGks6WKhe6XEOFf2C4ErQ-1-J9o2wFrHtIw5A=s800-c-k-c0x00ffffff-no-rj,8639
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,96708625401,"Lifestyle (sociology), Entertainment, Film",US,en,443000000,2012-02-20T00:43:50Z,"SUBSCRIBE FOR A COOKIE! New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time! Accomplishments: - Raised $20,000,000 To Plant 20,000,000 Trees - Removed 30,000,000 pounds of trash from the ocean - Helped 2,000 people walk again - Helped 1,000 blind people see - Helped 1,000 deaf people hear - Built wells in Africa - Built and gave away 100 houses - Adopted every dog in a shelter (twice) - Given millions to charity - Started my own snack company Feastables - Started my own software company Viewstats - Started Lunchly, a tasty, better-for-you lunch option - Gave away a private island (twice) - Gave away 1 million meals - I counted to 100k - Ran a marathon in the world's largest shoes - Survived 50 hours in Antarctica - Recreated Squid Game in real life - Created the largest competition show with 1000 people (Beast Games) - Gave $5,000,000 to one person - Passed T-Series to become most subscribed YouTube channel 🥹 you get it, I appreciate all of you so much :)",@mrbeast,https://yt3.ggpht.com/nxYrc_1_2f77DoBadyxMTmv7ZpRZapHR5jbuYe7PlPd5cIRJxtNNEYyOC0ZsxaDyJJzXrnJiuDE=s800-c-k-c0x00ffffff-no-rj,906
El Reino Infantil,UCK1i2UviaXLUNrZlAFpw_jA,69412738433,"Music, Entertainment, Film",AR,,70200000,2011-06-02T16:20:07Z,"El Reino Infantil es la comunidad digital para niños en español N°1 del mundo. Nuestras historias y canciones fomentan las habilidades clave para la vida, incluyendo la comunicación, la cooperación y la creatividad.  Dentro de El Reino Infantil encontrarás series divertidísimas para disfrutar en familia como La Granja de Zenón, Canciones del Zoo, Bichikids, Paco el Marinero, Rondas, La Familia Blu, Michi-guau ¡Y muchas más!",@elreinoinfantil,https://yt3.ggpht.com/JzIyfovSV3fVXtsYTwnKsTTnJML9bae6MM_NC2wU2F35XPn3NevnFU6YGS1-R-i6Xn2Qj9Zv=s800-c-k-c0x00ffffff-no-rj,1950
Justin Bieber,UCIwFjwMjI0y7PDBVEO9-bkQ,35942064019,"Hip hop music, Music, Pop music, Electronic music, Soul music, Rhythm and blues",CA,,76300000,2007-01-15T21:17:27Z,,@justinbieber,https://yt3.ggpht.com/4Mz5el_eyeB5cBod2jHMV-CC3fYiuSmDuCT9A9tGyYh03KQyVdrP04KYYMttZItBCtn4kfef=s800-c-k-c0x00ffffff-no-rj,277
SET India,UCpEhnqL0y41EpW2TvWAHD7Q,1.822E+11,"Entertainment, Television program, Film",IN,,187000000,2006-09-20T22:24:59Z,"Sony Entertainment Television is one of the leading Hindi General Entertainment channels in India. Since its launch in October 1995, SET has created a unique space, in television programming, with movie premieres, fiction & non–fiction shows. The Kapil Sharma Show, Shark Tank India, Kaun Banega Crorepati, Indian Idol, Bade Achhe Lagte Hain, Adaalat, CID, Crime Patrol and Super Dancer are some of the popular shows by Sony. Drama, suspense, romance & reality, you name and we have it all for you.",@setindia,https://yt3.ggpht.com/vmmZsYmryt238vqck4KAYf69gOSu22ZfqVE3rwT1tYz4hr68xl7crIUK7kghQgR6RiB9IlQ5mQ=s800-c-k-c0x00ffffff-no-rj,160944
Wave Music,UC22nIfOTM7KLIQuFGMKzQbg,46610229528,"Music of Asia, Music",IN,,67700000,2014-10-29T06:45:10Z,"Welcome to Wave Music, the leading Bhojpuri record label in India! Dive into a vibrant collection of captivating tracks from your favorite artists, including Pawan Singh, Khesari Lal Yadav, Shilpi Raj, Neelkamal Singh, Arvind Akela Kallu, Samar Singh, Dinesh Lal Yadav 'Nirhua', Ashish Yadav, Raushan Rohi, Pramod Premi, Chandan Chanchal, Gunjan Singh, Anu Dubey, Ankush Raja, Golu Gold, Shivani Singh, Ritesh Pandey, Jitendra Singh Anshu, Manoj Tiwari, Kalpana, Bharat Sharma Vyas, Khushi Kakkar, Mohini Pandey, Anupama Yadav, Antra Singh Priyanka, Neha Raj, and many more. Our channel features a blend of Lokgeet, movie songs, Sawan, chhath, Chaita, Holi, shiv charcha, Devi geet, Birha, Dugola, Nirgun, Vivah Geet and engaging music videos that celebrate the rich culture and rhythm of Bhojpuri music. Subscribe to stay updated on the latest hits and timeless classics to take you on an unforgettable journey! The channel has more than 50000 tracks of 5000+ artists of different categories.",@wavemusicindia,https://yt3.ggpht.com/-m-efGozwxkvoZiijhjJcLSuUxZQpXvJu9tObrAbfhrtr67AAf1V674HBB8eHixOLHrj3WBlgxI=s800-c-k-c0x00ffffff-no-rj,20816
